broodyear,start_SLS,end_SLS,start_20mm,end_20mm,start_EDSM,end_EDSM
2010,2010-01-04,2010-03-24,2010-03-15,2010-07-07,NA,NA
2011,2011-01-18,2011-03-22,2011-03-14,2011-07-06,NA,NA
2012,2012-01-09,2012-03-20,2012-03-12,2012-07-10,NA,NA
2013,2013-01-02,2013-03-19,2013-03-11,2013-07-02,NA,NA
2014,2014-01-06,2014-03-18,2014-03-18,2014-07-08,NA,NA
2015,2015-01-05,2015-03-25,2015-03-16,2015-07-07,NA,NA
2016,2016-01-04,2016-03-14,2016-03-14,2016-07-06,NA,NA
2017,2017-01-03,2017-03-13,2017-03-13,2017-07-06,2017-04-25,2017-06-27
2018,2018-01-02,2018-03-19,2018-03-12,2018-07-03,2018-06-05,2018-06-28
2019,2019-01-02,2019-03-11,2019-03-11,2019-07-02,2019-06-03,2019-06-25
2020,2020-01-06,2020-12-28,2020-03-16,2020-07-07,2020-03-31,2020-06-25
2021,2021-01-11,2021-03-15,2021-03-22,2021-07-13,NA,NA
